단어,형태소,횟수
방향,NNG,220
날,NNG,220
첫째,NR,219
입장,NNG,219
자원,NNG,219
우수,NNG,218
형,XSN,218
어느,MM,218
공사,NNG,218
방문,NNG,217
가치관,NNG,217
더라도,EC,217
통하,VV,217
강의,NNG,217
은행,NNG,216
또,MAG,216
모두,NNG,216
인생,NNG,216
창출,NNG,215
이론,NNG,215
집중,NNG,214
문제점,NNG,214
회계,NNG,214
만드,VV,214
자기,NP,213
어려웠,VA+EP,213
차이,NNG,212
원인,NNG,212
기억,NNG,211
처음,MAG,210
말씀,NNG,209
연습,NNG,209
100,SN,208
힘,NNG,208
한다고,VX+EC,208
안정,NNG,208
식품,NNG,207
포부,NNG,206
열심히,MAG,206
습득,NNG,205
소비자,NNG,205
께,JKB,205
대해서,VV+EC,205
실습,NNG,205
확보,NNG,204
될,XSV+ETM,204
우선,MAG,204
이바지,NNG,203
업계,NNG,202
학창,NNG,202
타인,NNG,202
!,SY,201
대표,NNG,201
교내,NNG,200
커뮤니케이션,NNG,200
행복,NNG,200
법,NNG,199
구축,NNG,199
완성,NNG,199
20,SN,198
국가,NNG,198
으면,EC,197
기관,NNG,196
의식,NNG,196
구성,NNG,196
사,NNG,195
조원,NNG,194
잡,VV,194
약,MM,194
예상,NNG,193
실천,NNG,193
이렇게,MAG,193
평소,NNG,192
확신,NNG,192
단체,NNG,192
매우,MAG,192
려고,EC,192
그렇게,MAG,191
8,SN,191
SK,SL,191
생겼,VV+EP,190
서,JKB,190
장,NNG,190
음,ETN,190
서로,NNG,190
삼성전자,NNP,190
상대방,NNG,188
요소,NNG,188
팀워크,NNG,188
믿,VV,187
수준,NNG,186
실제,NNG,186
신,EP+ETM,186
부,NNG,185
상태,NNG,185
전력,NNG,185
어려운,VA+ETM,184
설정,NNG,184
매장,NNG,184
창업,NNG,184
비,XPN,183
체계,NNG,183
흥미,NNG,183
보완,NNG,182
비전,NNG,182
배려,NNG,182
끈기,NNG,181
고등학교,NNG,181
전,MM,180
최대한,NNG,180
