가격,"값

"
교통경찰,"교통순경

"
교통순경,"교통경찰

"
교파,"종파

"
교합,"성교, 성행위
"
교향곡,"심포니

"
교회,"교회당

"
교회당,"교회

"
구경꾼,"관객, 관람자

"
구급차,"앰뷸런스

"
구김,"구김살

"
구김,"구김살

"
구김살,"구김, 구김새

"
구김살,"구김, 구김새

"
구김새,"구김살

"
구김새,"구김살

"
구둣주걱,"주걱

"
구들목,"아랫목

"
구렁이,"능구렁이

"
구령,"호령

"
구류,"구류형

"
구류형,"구류

"
구릉지,"구릉 지대

"
구리,"동3

"
구명보트,"구명정

"
구명정,"구명보트

"
구미,"입맛, 밥맛, 식욕

"
구미,"서양

"
구변,"말솜씨, 말재주, 말주변, 언변, 화술

"
구비,"구전

"
구상화,"구체화

"
구성,"짜임새

"
구성,"플롯

"
구성원,"성원1

"
구세주,"구주

"
구술,"구연

"
구실,"소임

"
구약,"구약 성경, 구약 성서
"
구어,"입말
"
구어,"입말, 음성 언어
"
구연,"구술

"
구원병,"원군, 지원군

"
구전,"구비1

"
구정물,"오수2

"
구좌,"계좌

"
구주,"구세주

"
구체화,"구상화1

"
구충제,"살충제

"
구혼,"청혼

"
국,"국물

"
국가,"나라

"
국가수반,"국가 원수, 원수2

"
국격,"국위

"
국내산,"국산
"
국립대,"국립 대학
"
국명,"국호

"
국무총리,"총리

"
국물,"국

"
국부,"국소

"
국비,"공비1, 관비
"
국사,"나랏일

"
국산,"국내산
"
국소,"국부1

"
국수,"면4

"
국어,"나라말

"
국역,"한역2

"
국위,"국격

"
국유지,"공유지
"
국호,"국명

"
국화,"나라꽃

"
국화,"국화꽃

"
국화꽃,"국화2

"
군,"군대

"
군,"군부

"
군,"군청

"
군것질,"주전부리

"
군기침,"헛기침

"
군대,"군1

"
군말,"군소리, 두말

"
군말,"군소리, 두말

"
군부,"군1

"
군비,"군사비

"
군사,"병사1, 병졸

"
군사,"병사2

"
군사비,"군비2

"
군소리,"군말, 두말

"
군수품,"군수 물자

"
군식구,"객식구

"
군왕,"군주, 왕, 왕자2, 임금1, 주군

"
군주,"군왕, 왕, 왕자2, 임금1, 주군

"
군청,"군2

"
굴,"석화

"
굴삭기,"굴착기

"
굴착기,"굴삭기

"
굶주림,"기아

"
굽,"발굽

"
궁,"활

"
궁,"궁궐, 궁전, 궁정, 대궐, 전각

"
궁궐,"궁2, 궁전, 궁정, 대궐, 전각

"
궁녀,"나인

"
궁전,"궁2, 궁궐, 궁정, 대궐, 전각

"
궁정,"궁2, 궁궐, 궁전, 대궐, 전각

"
궁중,"궐내

"
권력가,"권력자

"
권력자,"권력가

"
권위적,"권위주의적1

"
권위주의적,"권위적1

"
권투,"복싱

"
궐내,"궁중

"
귀,"귓바퀴

"
귀,"바늘귀, 바늘구멍

"
귀걸이,"귀고리

"
귀고리,"귀걸이

"
귀국,"환국

"
귀양,"유배

"
귀양지,"유배지

"
귀엣말,"귓속말

"
귀울림,"이명

"
귀재,"수재2

"
귀청,"고막

"
귓바퀴,"귀1

"
귓밥,"귓불

"
귓불,"귓밥

"
귓속말,"귀엣말

"
균,"박테리아, 세균

"
균형,"평형

"
그간,"그사이

"
그늘,"음영

"
그루,"그루터기

"
그루터기,"그루1
"
그릇,"용기2

"
그리스도교,"기독교

"
그림물감,"물감

"
그만치,"그만큼1
작은말 고만치1
"
그만큼,"그만치1
작은말 고만큼1
"
그물,"네트

"
그믐,"그믐날

"
그믐날,"그믐

"
그사이,"그간
작은말 고사이
"
극락,"극락세계

"
극락세계,"극락

"
극본,"각본

"
극존칭,"아주높임

"
극한,"혹한

"
근간,"금일, 요사이

"
근간,"근본, 근저, 기저, 기초

"
근간,"근본, 바탕

"
근거,"거점, 근거지

"
근거지,"거점, 근거, 본거지

"
근력,"기력, 정력

"
근로자,"노동자

"
근린,"근방, 근처, 인근

"
근방,"근린, 근처, 인근

"
근본,"근간3, 근저, 기저, 기초

"
근본,"근간3, 바탕

"
근사치,"근삿값

"
근삿값,"근사치

"
근심,"걱정

"
근심거리,"걱정거리

"
근저,"근간3, 근본, 기저, 기초

"
근처,"근린, 근방, 인근

"
근해,"앞바다

"
글,"글자, 글씨

"
글감,"글거리, 소재2

"
글거리,"글감, 소재2

"
글귀,"문구1

"
글꼴,"글씨체, 서체

"
글라스,"유리잔

"
글말,"문어2
"
글말,"문어2, 문자 언어
"
글방,"서당, 서재

"
글씨,"글자, 글

"
글씨체,"서체, 필체

"
글씨체,"서체

"
글씨체,"글꼴, 서체

"
글자,"글, 글씨

"
글재주,"문재

"
글짓기,"작문

"
금,"금메달

"
금강석,"다이아, 다이아몬드

"
금괴,"금덩이

"
금기,"터부

"
금년,"당년, 올해

"
금덩이,"금괴

"
금번,"이번

"
금빛,"금색

"
금색,"금빛

"
금속,"쇠붙이

"
금속성,"쇳소리

"
금일,"오늘1

"
금일,"근간2, 요사이

"
금전,"금화

"
금전,"화폐, 돈1

"
금화,"금전

"
급등,"폭등
"
급락,"폭락
"
급료,"급여

"
급사,"사환

"
급소,"요점, 요체

"
급여,"급료

"
급정거,"급정차

"
급정차,"급정거

"
급행,"급행열차
"
급행열차,"급행
"
기공,"기술공

"
기공,"착공
"
기녀,"기생1

"
기념비,"기념탑

"
기념탑,"기념비

"
기능,"기량

"
기능공,"기술공

"
기도,"기원1

"
기독교,"그리스도교

"
기독교인,"크리스천

"
기둥서방,"포주

"
기량,"기능1

"
기력,"근력, 정력

"
기로,"갈림길

"
기름기,"유분

"
기마,"승마

"
기말고사,"기말시험

"
기말시험,"기말고사

"
기미,"낌새

"
기본급,"본봉

"
기본형,"원형1

"
기사,"운전기사

"
기상,"날씨

"
기상,"의기

"
기생,"기녀

"
기세,"형세

"
기소장,"공소장

"
