데리다,"모시다

"
기우뚱기우뚱하다,"기우뚱거리다, 기우뚱대다

"
기우뚱대다,"기우뚱거리다, 기우뚱기우뚱하다1

"
기웃거리다,"기웃기웃하다1, 기웃대다

"
기웃기웃하다,"기웃거리다, 기웃대다

"
기웃대다,"기웃거리다, 기웃기웃하다1

"
기원하다,"기도하다2

"
기인하다,"말미암다

"
기절하다,"혼절하다

"
기증되다,"증여되다, 증정되다

"
기증하다,"증여하다, 증정하다

"
까닥거리다,"까닥까닥하다, 까닥대다
"
까닥까닥하다,"까닥거리다, 까닥대다

"
까닥대다,"까닥거리다, 까닥까닥하다

"
까딱거리다,"까딱까딱하다, 까딱대다
여린말 까닥거리다

"
까딱거리다,"까딱까딱하다, 까딱대다

"
까딱까딱하다,"까딱거리다, 까딱대다

"
까딱대다,"까딱거리다, 까딱까딱하다

"
까딱대다,"까딱거리다, 까딱까딱하다

"
까르르거리다,"까르르대다

"
까르르대다,"까르르거리다

"
까르륵거리다,"까르륵대다

"
까르륵거리다,"까르륵대다

"
까르륵대다,"까르륵거리다

"
까르륵대다,"까르륵거리다

"
까물거리다,"까물까물하다1, 까물대다
여린말 가물거리다

"
까물거리다,"까물까물하다1, 까물대다
여린말 가물거리다

"
까물거리다,"까물까물하다1, 까물대다
여린말 가물거리다

"
까물까물하다,"까물거리다, 까물대다
여린말 가물가물하다1

"
까물까물하다,"까물거리다, 까물대다
여린말 가물가물하다1

"
까물까물하다,"까물거리다, 까물대다
여린말 가물가물하다1

"
까물대다,"까물거리다, 까물까물하다1

"
까물대다,"까물거리다, 까물까물하다1

"
까물대다,"까물거리다, 까물까물하다1

"
까불거리다,"까불까불하다, 까불대다

"
까불거리다,"까불까불하다, 까불대다

"
까불까불하다,"까불거리다, 까불대다

"
까불까불하다,"까불거리다, 까불대다

"
까불대다,"까불거리다, 까불까불하다

"
까불대다,"까불거리다, 까불까불하다

"
깔깔거리다,"깔깔대다, 껄껄거리다

"
깔깔대다,"깔깔거리다
큰말 껄껄대다

"
깔딱거리다,"깔딱대다
큰말 껄떡거리다

"
깔딱거리다,"깔딱대다
큰말 껄떡거리다

"
깔딱대다,"깔딱거리다
큰말 껄떡대다

"
깔딱대다,"깔딱거리다
큰말 껄떡대다

"
깔짝거리다,"깔짝깔짝하다, 깔짝대다

"
깔짝거리다,"깔짝깔짝하다, 깔짝대다

"
깔짝깔짝하다,"깔짝거리다, 깔짝대다

"
깔짝깔짝하다,"깔짝거리다, 깔짝대다

"
깔짝대다,"깔짝거리다, 깔짝깔짝하다

"
깔짝대다,"깔짝거리다, 깔짝깔짝하다

"
깜박거리다,"깜박깜박하다, 깜박대다
큰말 껌벅거리다, 끔벅거리다
"
깜박거리다,"깜박깜박하다, 깜박대다
큰말 껌벅거리다, 끔벅거리다
"
깜박거리다,"깜박깜박하다, 깜박대다
"
깜박깜박하다,"깜박거리다, 깜박대다
큰말 껌벅껌벅하다, 끔벅끔벅하다
"
깜박깜박하다,"깜박거리다, 깜박대다
큰말 껌벅껌벅하다, 끔벅끔벅하다
"
깜박깜박하다,"깜박거리다, 깜박대다
"
깜박대다,"깜박거리다, 깜박깜박하다
큰말 껌벅대다, 끔벅대다
"
깜박대다,"깜박거리다, 깜박깜박하다
큰말 껌벅대다, 끔벅대다
"
깜박대다,"깜박거리다, 깜박깜박하다
"
깜빡거리다,"깜빡깜빡하다, 깜빡대다
여린말 깜박거리다

"
깜빡거리다,"깜빡깜빡하다, 깜빡대다
여린말 깜박거리다

"
깜빡거리다,"깜빡깜빡하다, 깜빡대다
여린말 깜박거리다

"
깜빡깜빡하다,"깜빡거리다, 깜빡대다
여린말 깜박깜박하다

"
깜빡깜빡하다,"깜빡거리다, 깜빡대다
여린말 깜박깜박하다

"
깜빡깜빡하다,"깜빡거리다, 깜빡대다
여린말 깜박깜박하다

"
깜빡대다,"깜빡거리다, 깜빡깜빡하다
여린말 깜박대다

"
깜빡대다,"깜빡거리다, 깜빡깜빡하다
여린말 깜박대다

"
